t;U;V;Lx;β;δ;v;Q;ΔT
1.0;10.0;1.0;80.0;100.0;0.1;Dict("m" => 0.1724946382358487, "w0" => 0.10994338033085146, "wp" => 0.00012382492608866777);Dict("m" => 0.32496286832753296, "w0" => 0.26473806285326473, "wp" => 0.878909171995023);1.278470665
1.0;10.0;1.0;80.0;100.0;0.2;Dict("m" => 0.10188167045233108, "w0" => 0.13569316858867997, "wp" => 4.394494920729188e-5);Dict("m" => 0.7216665612780476, "w0" => 0.7506629710279378, "wp" => 0.23620848848898918);1.507491201
1.0;10.0;1.0;80.0;100.0;0.3;Dict("m" => 0.010390784069173181, "w0" => 0.14272300776806876, "wp" => 2.0868327526759826e-6);Dict("m" => 2.7839163790917136, "w0" => 0.45046465605041996, "wp" => 0.0029809664966210354);1.938045493
1.0;10.0;2.0;80.0;100.0;0.1;Dict("m" => 0.18741506886965983, "w0" => 0.07688523631906645, "wp" => 0.00014314394491005903);Dict("m" => 0.03684588442751102, "w0" => 0.07574062666933223, "wp" => 0.6444646716465086);1.278195277
1.0;10.0;2.0;80.0;100.0;0.2;Dict("m" => 0.12950178199473714, "w0" => 0.09481884319382214, "wp" => 0.00021188743876095678);Dict("m" => 0.45448410985846066, "w0" => 0.6844792287606649, "wp" => 0.6950823913258743);1.316675141
1.0;10.0;2.0;80.0;100.0;0.3;Dict("m" => 0.05709495168758849, "w0" => 0.11869882793753496, "wp" => 0.00033764961677883024);Dict("m" => 0.08371412425395991, "w0" => 0.10360640594407611, "wp" => 0.7472909805726736);1.508622693
1.0;10.0;3.0;80.0;100.0;0.1;Dict("m" => 0.19292556665768426, "w0" => 0.058332279786616745, "wp" => 1.946265511369255e-5);Dict("m" => 0.8715276160558005, "w0" => 0.27195016079582107, "wp" => 0.07238260711277526);0.923506217
1.0;10.0;3.0;80.0;100.0;0.2;Dict("m" => 0.1387476271336286, "w0" => 0.07181574886979748, "wp" => 0.0003731976973158985);Dict("m" => 0.9147494007608614, "w0" => 0.7830198718080106, "wp" => 0.9898735382148092);0.999221831
1.0;10.0;3.0;80.0;100.0;0.3;Dict("m" => 0.07883743518877077, "w0" => 0.08953077151986795, "wp" => 0.0004163915148388844);Dict("m" => 0.08654482636989702, "w0" => 0.15030739437790763, "wp" => 0.718189401133727);1.578687883
