t;U;V;Lx;β;δ;v;Q;ΔT;I;μ;g0;g;fMFT
1.0;0.0;1.0;20.0;100.0;0.0;Dict("m" => NaN, "w0" => NaN, "wp" => NaN);Dict("m" => 127.30365948409295, "w0" => 62.68039524900909, "wp" => 81.19550711795667);0.015240464;20;5.0;0.1;0.1;NaN
1.0;0.0;2.0;20.0;100.0;0.0;Dict("m" => NaN, "w0" => NaN, "wp" => NaN);Dict("m" => 50.27605498341785, "w0" => 132.75422389686125, "wp" => 86.79424805764468);0.030217242;20;4.0;0.1;0.1;NaN
1.0;0.0;3.0;20.0;100.0;0.0;Dict("m" => NaN, "w0" => NaN, "wp" => NaN);Dict("m" => 62.09413229523954, "w0" => 122.25089436328578, "wp" => 48.740821895202664);0.028365944;20;4.0;0.1;0.1;NaN
