# U, t, Lx, β, δ, m, Q, ΔT [calculated @ 2025-08-07T11:47:41.273]
0.5,2.0,64.0,0.1,0.25,1.4771076254369917e-6,0.7525091061328513,0.310197346
0.5,2.0,64.0,0.1,0.3,9.982837723536405e-7,0.5860079391780799,0.320682778
0.5,2.0,64.0,0.1,0.35,1.1747888753802265e-6,0.8398133666520953,0.31369754
0.5,2.0,64.0,0.1,0.4,5.690661783155257e-7,0.5414512281740527,0.319898467
0.5,2.0,64.0,0.1,0.45,3.4301459879778704e-7,0.5179433225993956,0.296876089
0.5,2.0,64.0,0.1,0.5,0.0,0.0,0.026019382
0.5,2.0,64.0,1.0,0.0,1.2707458212959406e-5,0.6744097623939331,0.404020463
0.5,2.0,64.0,1.0,0.05,1.0871338954688315e-5,0.5880983784764965,0.409356076
0.5,2.0,64.0,1.0,0.1,1.3097807632758778e-5,0.7809536972760144,0.400853172
0.5,2.0,64.0,1.0,0.15,1.3534409774236366e-5,0.9577877043529548,0.334081634
0.5,2.0,64.0,1.0,0.2,6.977732173915033e-6,0.6266387399210486,0.331580221
0.5,2.0,64.0,1.0,0.25,6.0777083157754485e-6,0.7341458335557877,0.311974639
0.5,2.0,64.0,1.0,0.3,5.145528941572125e-6,0.8795687466133774,0.292285319
0.5,2.0,64.0,1.0,0.35,2.159923326181719e-6,0.5499317596324663,0.299326811
0.5,2.0,64.0,1.0,0.4,1.5164671276866001e-6,0.6182549215264403,0.280819899
0.5,2.0,64.0,1.0,0.45,7.213917405073421e-7,0.5483106613575263,0.252242592
0.5,2.0,64.0,1.0,0.5,0.0,0.0,0.01757575
0.5,2.0,64.0,10.0,0.0,6.667885026112536e-5,0.9034859943105078,0.559897633
0.5,2.0,64.0,10.0,0.05,5.0475200766701475e-5,0.9393576082140302,0.503463894
0.5,2.0,64.0,10.0,0.1,1.7928982627888395e-5,0.7723107016813466,0.430613071
0.5,2.0,64.0,10.0,0.15,1.3055966885660784e-5,0.9387372653883621,0.340688759
0.5,2.0,64.0,10.0,0.2,9.164747960570742e-6,0.9760122947214079,0.301911741
0.5,2.0,64.0,10.0,0.25,4.097474884857889e-6,0.6233545285558512,0.312171401
0.5,2.0,64.0,10.0,0.3,3.6076140284219017e-6,0.7829409783447988,0.289193105
0.5,2.0,64.0,10.0,0.35,3.1057609197549043e-6,0.9879582387343651,0.277592968
0.5,2.0,64.0,10.0,0.4,1.1887736368439618e-6,0.592964712407589,0.287465207
0.5,2.0,64.0,10.0,0.45,5.864739608093154e-7,0.5377287455961561,0.260090141
0.5,2.0,64.0,10.0,0.5,0.0,0.0,0.018545982
0.5,2.0,64.0,50.0,0.0,0.00030075445195152967,0.995855186317079,0.996806693
0.5,2.0,64.0,50.0,0.05,4.495105496266714e-5,0.8659258260535165,0.513084816
0.5,2.0,64.0,50.0,0.1,1.5889638259199836e-5,0.7149101047400815,0.42080678
0.5,2.0,64.0,50.0,0.15,1.2779087684380172e-5,0.9277912945854028,0.342462223
0.5,2.0,64.0,50.0,0.2,9.082048480627857e-6,0.9719534774071493,0.314472543
0.5,2.0,64.0,50.0,0.25,4.0768535208659e-6,0.6221216469331307,0.311301237
0.5,2.0,64.0,50.0,0.3,3.5965214331847505e-6,0.78220528243826,0.296900318
0.5,2.0,64.0,50.0,0.35,3.0987318302374476e-6,0.9874622925920269,0.274024166
0.5,2.0,64.0,50.0,0.4,1.1866654916356278e-6,0.5927981300691872,0.28977118
0.5,2.0,64.0,50.0,0.45,5.854731321398908e-7,0.5376492814855984,0.261577547
0.5,2.0,64.0,50.0,0.5,0.0,0.0,0.019545641
